Local time,Open,High,Low,Close,Volume
02.01.2020 21:50:00.000 GMT-0600,1.11726,1.11735,1.11726,1.11731,163.37
02.01.2020 21:55:00.000 GMT-0600,1.11732,1.11739,1.11719,1.11723,338.9
02.01.2020 22:00:00.000 GMT-0600,1.11724,1.11747,1.11722,1.11742,408.82
02.01.2020 22:05:00.000 GMT-0600,1.11742,1.11751,1.11736,1.11741,206.93
02.01.2020 22:10:00.000 GMT-0600,1.11741,1.11748,1.11737,1.11748,151.48
02.01.2020 22:15:00.000 GMT-0600,1.11747,1.11748,1.11736,1.11739,206.7
02.01.2020 22:20:00.000 GMT-0600,1.11739,1.11741,1.11736,1.11738,160.51
02.01.2020 22:25:00.000 GMT-0600,1.11737,1.11743,1.11737,1.11738,175.92
02.01.2020 22:30:00.000 GMT-0600,1.11741,1.11745,1.1174,1.11743,90.79
02.01.2020 22:35:00.000 GMT-0600,1.11743,1.11743,1.11727,1.1173,152.93
02.01.2020 22:40:00.000 GMT-0600,1.11731,1.11731,1.11707,1.1172,220.75
02.01.2020 22:45:00.000 GMT-0600,1.11721,1.11721,1.11699,1.11704,110.79
02.01.2020 22:50:00.000 GMT-0600,1.11705,1.11708,1.117,1.11705,114.61
02.01.2020 22:55:00.000 GMT-0600,1.11703,1.11705,1.11688,1.11703,205.22
02.01.2020 23:00:00.000 GMT-0600,1.11702,1.11707,1.117,1.11702,315.52
02.01.2020 23:05:00.000 GMT-0600,1.11701,1.11703,1.11691,1.11692,193.55
02.01.2020 23:10:00.000 GMT-0600,1.11691,1.11693,1.1167,1.11678,350.27
02.01.2020 23:15:00.000 GMT-0600,1.11676,1.11677,1.11659,1.1166,305.26
02.01.2020 23:20:00.000 GMT-0600,1.11659,1.11665,1.11655,1.11661,211.82
02.01.2020 23:25:00.000 GMT-0600,1.1166,1.11667,1.11645,1.11666,326.24
02.01.2020 23:30:00.000 GMT-0600,1.11666,1.11691,1.11659,1.11691,232.83
02.01.2020 23:35:00.000 GMT-0600,1.11691,1.11701,1.11674,1.11681,275.97
02.01.2020 23:40:00.000 GMT-0600,1.11683,1.11702,1.11683,1.11692,550.97
02.01.2020 23:45:00.000 GMT-0600,1.11692,1.117,1.11692,1.11697,190.6
02.01.2020 23:50:00.000 GMT-0600,1.11697,1.11701,1.11693,1.11696,211.51
02.01.2020 23:55:00.000 GMT-0600,1.11696,1.11702,1.11665,1.11665,326.39
03.01.2020 00:00:00.000 GMT-0600,1.11666,1.1167,1.11643,1.11658,411.23
03.01.2020 00:05:00.000 GMT-0600,1.11658,1.11668,1.11647,1.11655,310.67
03.01.2020 00:10:00.000 GMT-0600,1.11656,1.11665,1.11652,1.11656,248.26
03.01.2020 00:15:00.000 GMT-0600,1.11656,1.11668,1.11645,1.11667,254.7
03.01.2020 00:20:00.000 GMT-0600,1.11666,1.11677,1.1166,1.11667,168.92
03.01.2020 00:25:00.000 GMT-0600,1.11667,1.11685,1.11666,1.11677,237.78
03.01.2020 00:30:00.000 GMT-0600,1.11677,1.11682,1.11674,1.11677,158.04
